method,id,file,dataset,fitness,dice,jaccard,acc
otsu,5,401,ar,0.9684387241186346,0.3135315325108249,0.18591010656583018,0.9143450701678241
otsu,5,402,ar,0.9603023004733826,0.40247128437173685,0.2519336775824128,0.9223858868634259
otsu,5,403,ar,0.9712580684447693,0.30275995596218824,0.1783836983022793,0.9169650607638888
otsu,5,404,ar,0.948135629027147,0.34543670264965654,0.20877817319098457,0.9231024848090278
otsu,5,405,ar,0.9809976247030879,0.3876987777631752,0.24046299315291816,0.9262763129340278
otsu,5,406,ar,0.9834678969627066,0.3930169582669151,0.24456820517723546,0.9285549587673612
otsu,5,407,ar,0.9843342036553525,0.3364308301162046,0.20223435021923686,0.9226774992766203
otsu,5,408,ar,0.9741930060524546,0.4139002482187182,0.26095473992344065,0.9258061161747685
otsu,5,409,ar,0.9816037225408506,0.33199743800896697,0.19903892570325185,0.9174827293113426
otsu,5,410,ar,0.9698323146842188,0.42591923467368675,0.27058283415679246,0.9245763708043981
otsu,5,411,ar,0.9550900459648859,0.40440296721703756,0.2534493101379724,0.9156019422743056
otsu,5,412,ar,0.9467722423842516,0.3055437251561613,0.1803196280082944,0.9115351924189815
otsu,5,413,ar,0.9672395893413311,0.334430152557583,0.20079022988505746,0.9245537651909722
otsu,5,414,ar,0.9796516496399263,0.4516116579810847,0.29166562788262573,0.9357729311342593
otsu,5,415,ar,0.9667271248983677,0.5195717575085296,0.35096044684619226,0.9353818540219907
otsu,5,416,ar,0.972585779978776,0.4072428349255721,0.25568419584321384,0.9276258680555556
otsu,5,417,ar,0.9680432265534543,0.4487984683378961,0.28932312093388085,0.9303634078414352
otsu,5,418,ar,0.9356889817422109,0.37548297732740393,0.2311351448381089,0.9225396050347222
otsu,5,419,ar,0.9530909970178125,0.4059597988224591,0.2546735010337698,0.9217687536168981
otsu,5,420,ar,0.9466403162055336,0.3361279361796425,0.20201549355175247,0.9187328197337963
otsu,5,421,ar,0.9672016748080949,0.38141102817240546,0.2356441535257364,0.9186966507523148
otsu,5,422,ar,0.9565217391304348,0.45083601021332675,0.291018906446056,0.9246396665219907
otsu,5,423,ar,0.9745451930682391,0.48312123480554664,0.31849693323619954,0.9344437210648148
otsu,5,424,ar,0.9766222874515148,0.35933040191313736,0.21901448185066766,0.9249041521990741
otsu,5,425,ar,0.9761183597390494,0.32403898213318894,0.19334517848489743,0.9209752965856481
otsu,5,426,ar,0.9664429530201343,0.44437097040833196,0.28565356004250797,0.9316202799479166
otsu,5,427,ar,0.9725578537784149,0.3503375013832024,0.21236919774617655,0.9203694661458334
otsu,5,428,ar,0.9606960494490728,0.4774290484140234,0.31356768491919035,0.9292399088541666
otsu,5,429,ar,0.9705103736994397,0.5423798792341172,0.37209961052755813,0.9398668077256944
otsu,5,430,ar,0.9834437086092715,0.352829366807904,0.2142032887777671,0.9261112919560185
otsu,6,101,yg,0.9768775434702183,0.9051332590624732,0.8267063243581716,0.9812296527400977
otsu,6,102,yg,0.983251410886583,0.9258592611639668,0.8619533992977977,0.9853330168204015
otsu,6,103,yg,0.9658232628398792,0.8991825613079019,0.8168316831683168,0.9805514107433533
otsu,6,104,yg,0.9361965723724964,0.836299916997141,0.7186558884133777,0.9699030113944656
otsu,6,105,yg,0.9521610639083856,0.890481948523061,0.8025844620893663,0.9784997287032013
otsu,6,106,yg,0.9432521667354519,0.8870560838346594,0.7970357454228422,0.9802631578947368
otsu,6,107,yg,0.9645841623557501,0.7952755905511811,0.6601307189542484,0.9788388497015735
otsu,6,108,yg,0.9609356161080299,0.857634778865813,0.7507535795026375,0.9775671459576777
otsu,6,109,yg,0.9679778113968734,0.8615350089766607,0.7567514291346343,0.9790762344004341
otsu,6,110,yg,0.9429181929181929,0.8169796350171912,0.6905879722781131,0.9765328269126424
otsu,6,111,yg,0.8714222809335095,0.6098613251155625,0.43870538683218796,0.957067281606077
otsu,6,112,yg,0.9368995066216567,0.7970838396111786,0.6626262626262627,0.9688517362995117
otsu,6,113,yg,0.9315689079637578,0.8206259189245957,0.6958147818343722,0.9710390667390125
otsu,6,114,yg,0.927470534904805,0.7411253320453997,0.5887205064262421,0.9636462289744981
otsu,6,115,yg,0.9067288474350433,0.7863642929365882,0.6479409664365627,0.9749220021703744
otsu,6,116,yg,0.9222462203023758,0.6440422322775264,0.474972191323693,0.9599837221920782
otsu,6,117,yg,0.9284377923292797,0.8070746086602968,0.6765507839127471,0.9678174172544763
otsu,6,118,yg,0.9650302622730329,0.8539125260339184,0.745067497403946,0.9750237384698861
otsu,6,119,yg,0.9623454477332334,0.9005171355947059,0.8190369897959183,0.9807548833423766
otsu,6,120,yg,0.9365206910405786,0.7377749643931002,0.5845035105315948,0.9719038252848616
otsu,6,121,yg,0.9465423111919927,0.8543270711425932,0.7456989247311828,0.9759393651654911
otsu,6,122,yg,0.9352631578947368,0.8563855421686747,0.7488411293721028,0.9797883884970158
otsu,6,123,yg,0.9778123783573375,0.7925540306041963,0.6563888163051999,0.9777027943570266
otsu,6,124,yg,0.975818270639961,0.8727471327143638,0.7742248062015504,0.9802462018448183
otsu,6,125,yg,0.907103825136612,0.7144174608054104,0.555714968914395,0.9684956592512208
otsu,6,126,yg,0.9640095974406825,0.8337560525709016,0.7149070778964017,0.975549376017363
otsu,6,127,yg,0.8682779456193354,0.7008901353493476,0.5395156748639008,0.9584068095496473
otsu,6,128,yg,0.9086058919044305,0.7813684420506682,0.6411851366835816,0.9628323385784048
otsu,6,129,yg,0.9456838021338506,0.8757747237941256,0.7790028763183126,0.976549782962561
otsu,6,130,yg,0.9065656565656566,0.7658666666666667,0.6205704407951599,0.9702251763429192
otsu,6,201,bs,0.7299370876170017,0.50509662348694,0.3378791107322963,0.9481903872660176
otsu,6,202,bs,0.7469663541092113,0.49140472626661225,0.32573662056524355,0.9451032038226539
otsu,6,203,bs,0.7483006797281088,0.5320540156361052,0.3624479519705626,0.9473119828427842
otsu,6,204,bs,0.7755365310191158,0.5801640566741237,0.40861344537815125,0.955622015115686
otsu,6,205,bs,0.8818947703067874,0.6923748908024461,0.5294903607558694,0.9661552191672673
otsu,6,206,bs,0.7969252271139063,0.6591526501358304,0.49159410293990863,0.9629455084703162
otsu,6,207,bs,0.7619457069156124,0.6103813038130381,0.4392437331822688,0.9569918752172402
otsu,6,208,bs,0.7754220651747153,0.46415981198589895,0.3022188217291507,0.9465808628284027
otsu,6,209,bs,0.6219714570195818,0.35866028708133973,0.21851679104477612,0.935190647029813
otsu,6,210,bs,0.8420398009950248,0.4483773640444477,0.2889732036993123,0.9408263471163106
otsu,6,211,bs,0.7974683544303798,0.5725355144210074,0.4010856453558504,0.9543378295524219
otsu,6,212,bs,0.7054813578185866,0.46318962367555716,0.3013967310549777,0.9444452321871677
otsu,6,213,bs,0.816414686825054,0.6902358610195283,0.5269924870265665,0.9628414968055978
otsu,6,214,bs,0.8062717770034843,0.6224780760746759,0.4518825183565068,0.9580011491776198
otsu,6,215,bs,0.8613018811585548,0.5968651388960736,0.4253797375018434,0.9587462414771524
otsu,6,216,bs,0.865228013029316,0.6471752702908482,0.47838811346240434,0.9661184659478641
otsu,6,217,bs,0.7157079646017699,0.5407438361888842,0.37056128293241697,0.9533046926635823
otsu,6,218,bs,0.85803634647156,0.6958560627811273,0.5335730534967345,0.966220238095238
